chr	pos	Cov	Methylation
chr22	10525991	4	1
chr22	10526005	4	1
chr22	10526008	4	1
chr22	10526013	4	1
chr22	10526023	4	1
chr22	10526026	4	0
chr22	10526038	3	1
chr22	10526043	4	1
chr22	10526046	4	1
chr22	10526049	3	0
chr22	10526051	4	1
chr22	10526062	4	1
chr22	10526065	4	1
chr22	10526067	4	1
chr22	10526081	4	0
chr22	10526084	4	0
chr22	10526089	4	1
chr22	10526103	7	1
chr22	10526106	7	1
chr22	10526109	8	0
chr22	10526112	8	1
chr22	10526122	8	0.5
chr22	10526125	9	0.555555555555556
chr22	10526131	9	0
chr22	10526141	11	0.727272727272727
chr22	10526147	11	0.363636363636364
chr22	10526149	11	0.0909090909090909
chr22	10526166	13	0.846153846153846
chr22	10526169	13	0.769230769230769
chr22	10526171	13	0.461538461538462
chr22	10526194	17	0.588235294117647
chr22	10526197	18	0.888888888888889
chr22	10526200	19	1
chr22	10526202	20	0.4
chr22	10526212	23	0.826086956521739
chr22	10526215	23	0.391304347826087
chr22	10526239	25	0.36
chr22	10526249	33	0.878787878787879
chr22	10526256	35	0.2
chr22	10526261	38	0.552631578947368
chr22	10526278	36	0.777777777777778
chr22	10526293	36	0.666666666666667
chr22	10526296	36	0.722222222222222
chr22	10526315	34	0.588235294117647
chr22	10526318	33	0.878787878787879
chr22	10526320	33	0.939393939393939
chr22	10526334	29	0.586206896551724
chr22	10526337	31	0.741935483870968
chr22	10526340	30	0.833333333333333
chr22	10526342	30	0.733333333333333
