seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10
1	chr1	227315952	227316451	500	*	peak_7653	79	.	3.47137	7.95431	5.57042	324
2	chr14	22336539	22337568	1030	*	peak_23847	238	.	5.45028	23.868	20.81206	363
3	chr3	114954481	114954973	493	*	peak_52973	33	.	2.43616	3.37228	1.39601	267
4	chr18	54802695	54803104	410	*	peak_34748	103	.	4.27584	10.36843	7.85177	219
5	chr7	88375683	88376290	608	*	peak_79169	63	.	2.85401	6.34074	4.0657	146
6	chr17	77811356	77811750	395	*	peak_33419	144	.	5.6463	14.40774	11.70542	226
7	chr2	96970822	96971087	266	*	peak_39706	47	.	3.11015	4.72857	2.58777	89
8	chr4	59056360	59056824	465	*	peak_58249	31	.	2.35344	3.19859	1.24604	210
9	chr9	466781	467111	331	*	peak_86678	77	.	3.6611	7.72611	5.35216	208
10	chr5	74243453	74243853	401	*	peak_65748	45	.	2.63824	4.56329	2.44071	219
11	chr14	80454336	80454576	241	*	peak_25989	35	.	2.57171	3.50724	1.51325	161
12	chr17	62506937	62507316	380	*	peak_32663	79	.	3.47137	7.95431	5.57042	207
13	chr16	54013827	54014188	362	*	peak_29830	77	.	3.79605	7.79541	5.41866	188
14	chr12	18690728	18691012	285	*	peak_17158	44	.	2.08251	4.48043	2.36555	123
15	chr5	72720927	72721171	245	*	peak_65596	76	.	3.44667	7.65414	5.28687	81
16	chr13	51418458	51418998	541	*	peak_21943	78	.	3.69826	7.81716	5.43819	136
17	chr8	81080322	81080825	504	*	peak_84268	71	.	2.927	7.12121	4.78796	308
18	chr5	59029567	59029878	312	*	peak_65171	46	.	2.82903	4.69204	2.55921	203
19	chr6	150638256	150639228	973	*	peak_75775	442	.	10.31765	44.25219	40.55788	722
20	chr5	42984663	42987299	2637	*	peak_64692	421	.	6.12527	42.18759	38.55743	1215
21	chr17	79869546	79869786	241	*	peak_33482	27	.	2.18533	2.73306	0.8616	88
22	chr11	103071111	103071361	251	*	peak_15432	77	.	2.86021	7.78373	5.40766	78
23	chr3	110520979	110521581	603	*	peak_52728	44	.	2.52263	4.41302	2.30153	451
24	chr11	67145491	67146207	717	*	peak_13915	731	.	8.79803	73.1794	68.57822	275
25	chr1	160811045	160811475	431	*	peak_4743	160	.	4.59745	16.02976	13.26094	205
26	chr11	110094438	110094990	553	*	peak_15738	59	.	2.90102	5.94179	3.6948	225
27	chr4	48074594	48075151	558	*	peak_57952	146	.	4.39611	14.68739	11.97148	215
28	chr12	6192808	6193126	319	*	peak_16505	70	.	3.31484	7.07531	4.74602	194
29	chr3	75985319	75985833	515	*	peak_51400	91	.	4.03446	9.17922	6.72344	326
30	chr5	108685676	108686113	438	*	peak_67272	202	.	6.32372	20.24355	17.31837	219
31	chr9	77851688	77852136	449	*	peak_87953	101	.	4.54995	10.11008	7.60289	257
32	chr4	137539131	137539405	275	*	peak_61540	47	.	2.86313	4.76946	2.62153	142
33	chr17	29734903	29735365	463	*	peak_31582	23	.	1.68277	2.35335	0.57427	255
34	chr17	76709200	76709946	747	*	peak_33377	132	.	4.14892	13.22799	10.57499	175
35	chr12	92063543	92064214	672	*	peak_19649	122	.	3.67057	12.27009	9.6576	227
36	chr2	47360762	47361500	739	*	peak_38291	99	.	4.33835	9.92378	7.427	257
37	chr3	193782118	193782765	648	*	peak_56390	40	.	1.87545	4.05313	1.99091	203
38	chr5	40437089	40438087	999	*	peak_64612	67	.	2.69196	6.79609	4.48311	485
39	chr2	9213592	9213832	241	*	peak_36831	30	.	2.41984	3.07619	1.13684	62
40	chr3	121995516	121995788	273	*	peak_53176	139	.	4.75608	13.9036	11.22275	98
41	chr15	73078625	73079018	394	*	peak_28112	83	.	3.70018	8.32651	5.9146	217
42	chr6	55921024	55921384	361	*	peak_72206	132	.	4.44156	13.28246	10.62789	220
43	chr17	59558961	59559337	377	*	peak_32579	40	.	2.35479	4.08775	2.01979	204
44	chr12	94833077	94833334	258	*	peak_19816	70	.	3.31484	7.07531	4.74602	124
45	chr8	26409850	26410511	662	*	peak_82469	243	.	5.04743	24.34832	21.27854	301
46	chr18	10019830	10020875	1046	*	peak_33888	197	.	5.15811	19.76326	16.8507	601
47	chr6	69775807	69776494	688	*	peak_72520	340	.	6.40091	34.08289	30.69521	253
48	chr3	65948999	65949374	376	*	peak_51050	53	.	2.65532	5.39461	3.18994	139
49	chr8	79105615	79105950	336	*	peak_84136	92	.	3.13172	9.2296	6.77171	145
50	chr1	8493824	8494427	604	*	peak_176	103	.	4.03546	10.30167	7.78901	295
